Streams,Artist Followers,Tempo,Duration (ms)
10957181,36177712,171.918,151506
10733416,36177712,90.872,157673
9624871,3609658,94.736,227653
8413330,37151476,114.91,222243
7703744,37151476,104.994,202313
7165808,37151476,101.085,239722
7010227,37151476,125.904,204800
6006877,15778531,115.016,213672
5842320,36177712,118.671,199720
5816739,15778531,175.984,205733
5463964,2435159,92.988,227520
8392247,37151476,114.822,179548
7276896,4430628,99.984,193555
6241923,4431309,101.022,178374
6152821,8123757,124.889,171360
5504912,4430628,120.046,230389
5362508,247480,124.009,342613
5358940,,,
5263469,4430628,131.988,192965
5203423,2953525,98.031,166851
5196635,2238190,167.827,151705
5164187,19102888,158.831,196180
5039047,23848461,152.045,201122
4995203,100635,149.836,184905
4988571,11034144,76.899,484147
4920218,4430628,137.973,191869
4914682,9949044,143.01,195906
4911995,1963296,120.023,178000
4911749,2334615,89.991,167693
4907925,260236,122.074,203145
4899440,7909963,143.86,191945
4878286,150587,130.022,147800
7292247,10491105,151.951,213520
5929062,3509653,86.97,191406
5602168,1245965,142.018,217088
5561227,6096559,90.086,185719
5445204,10491105,144.081,274313
5361669,213344,127.954,161668
5308945,67208170,88.332,239949
5303146,3866304,99.993,143375
5201322,9398941,119.965,213693
5158896,689627,149.967,172245
5151014,10491105,123.043,228796
5083648,2688557,114.328,242293
5043665,6281829,85.84,218902
4980571,67208170,128.006,149900
4926802,1685215,89.643,153294
4899099,18306226,174.021,246000
4872409,661863,118.917,179080
4863053,486194,129.966,170233
4746415,5371000,151.964,232533
4739241,,,
4732343,4759367,88.964,209274
4731423,23936368,105.027,275893
4721082,47061119,104.89,210005
4713873,3152313,173.905,174027
5798744,67208170,161.884,208457
5282490,67208170,127.698,157710
5249342,67208170,127.894,200733
5226940,2238190,82.363,153147
5220504,3198705,117.007,206760
5064484,26784251,170.081,198570
5033798,29238936,168.045,233160
4951481,9949044,172.08,193839
4924030,6852509,88.834,164580
4896521,67208170,92.013,158436
4865084,67208170,159.852,146959
4813796,83337783,92.977,197867
4787127,10580764,178.032,211613
4784580,1606884,162.948,167916
4773792,1251372,172.277,151147
10941573,67208170,120.109,183874
9399230,67208170,110.034,179861
9397167,67208170,87.865,132279
5605234,19345579,118.427,358053
5229835,17097317,102.998,171030
5226264,1683006,181.942,168991
5103194,17097317,128.044,207528
5096618,20110171,115.728,208400
4914412,10741972,110.075,180788
4904772,345027,126.03,182857
4825749,8766508,171.943,247308
4821213,17732077,154.981,202795
6846771,23848461,111.712,161168
5547002,8673345,160.048,199758
5079328,67208170,106.966,207320
5016343,5966748,105.013,249143
5010179,4442273,82.96,146375
4980744,1251372,103.072,159863
4941592,179193,129.979,165978
4817969,2172969,91.985,219202
4765198,2819406,74.897,252733
4745568,10925614,123.97,179867
4709053,7593792,147.988,199549
4703672,28335338,135.187,285240
4674658,1758300,95.971,212607
5183246,68875,99.954,144000
5125708,23848461,162.225,171798
5116071,4894656,82.011,214363
5112572,249910,142.948,356347
5056387,23848461,115.002,163946
4870203,6569150,98.05,175873
4752289,4769627,94.634,129371
4705484,10580764,144.511,188213
4680447,36177712,97.014,172127
4665053,13697048,66.932,200661
4652712,3337982,145.115,197760
4607003,6096559,171.965,197721
4598766,891555,72.541,156106
4560503,8388838,111.202,220492
5304382,23848461,144.497,229236
5089970,638337,128.977,223480
4947593,9949044,130.029,193591
4933462,16655692,84.295,174517
4751756,3868320,99.975,171621
4751064,352402,129.63,153078
4727923,613348,167.969,333800
4641393,14073083,92.928,260640
9129562,9949044,97.974,190331
8675173,9949044,77.594,201856
8243488,9949044,152.891,185037
7762934,5019909,92.819,198822
6029118,9949044,140.105,181716
5846760,9949044,145.953,187773
5841110,9949044,155.023,202420
5550390,412466,140.045,181496
5233336,4759367,117.98,163759
5154955,9949044,178.043,194214
5109038,25417,120.003,159955
4915080,9949044,183.016,214192
4853661,9949044,89.484,140833
7471309,4759367,126.576,214558
6936305,4759367,114.078,207710
6819838,4759367,163.944,163906
6292620,4849204,175.929,177273
6032935,3868320,160.057,205159
6013371,4759367,132.008,207265
5547939,4759367,80.53,132215
5482390,4759367,167.788,180019
5463424,2396662,136.029,180161
5220309,1255573,100.036,139413
5141212,4759367,156.049,156759
4977405,4759367,83.5,194871
4964708,,,
4867620,21946934,178.043,210795
4851997,19102888,90.003,160212
4834258,3868320,90.024,143901
4761286,134339,99.994,212406
4745752,3828418,145.013,227478
4632724,17931101,71.994,386907
4628159,412466,147.912,174730
5329256,3008916,125.926,215093
5178107,152237,118.961,176767
5151406,4849204,176.027,163798
5101640,3071170,137.997,201333
5094137,3071170,104.106,315640
4924533,42227614,75.602,285634
4819362,19102888,142.948,242181
4805366,19102888,159.93,181661
4800543,4022792,88.502,179813
4799038,56327031,122.947,220488
4690955,6514102,178.462,132303
4599807,27167675,146.967,193829
4569978,7593792,119.961,199008
4526982,3916979,184.021,180348
4502853,3916979,133.002,187436
5698099,29238936,109.976,214507
5049863,5888533,120.074,202008
4957966,32279979,93.676,211254
4938139,3263283,149.978,230400
4898520,1683006,104.875,182931
4877753,2168452,103.994,259600
4776686,7816213,135.14,181929
4723116,1683006,109.019,185330
4652583,15778531,137.941,248587
4620838,8671649,125.989,134240
4602336,328877,77.052,196363
4598325,38111,120.03,186878
4568308,28335112,84.459,242001
5949270,8673345,152.028,199250
5117128,1255573,100.032,253569
4982232,2384076,101.027,177728
4876238,17732077,79.903,185851
4737291,26784251,163.781,193700
4668193,2786366,124.002,175016
4642057,1245965,149.981,162600
4615520,1555628,100.009,168507
4593366,177972,112.011,210000
4587573,42227614,139.883,210252
4585895,5966748,104.994,221714
4572706,166517,126.039,233905
4538382,7593792,105.023,208156
5306994,18936929,125.957,159286
4624448,67074,95.114,210329
4609169,1492551,151.016,168477
4597001,437907,139.864,157712
4575403,2919696,175.937,212011
4564331,18306226,93.064,212312
4556900,18585963,120.006,157707
4547965,2203386,118.004,235988
4514763,19102888,180.051,189323
4501441,2897862,112.953,201000
11373347,412466,140.04,195429
5440253,4093115,96.852,151360
5391018,37151476,105.936,246381
4887204,17097317,143.783,179917
4883202,19102888,143.078,202193
4702117,1251372,83.982,233000
